Bachelor_Favoritism,TV_most_1_TEXT,TV_most_2_TEXT,TV_most_3_TEXT,TV_most_4_TEXT,TV_most_5_TEXT,Age,Sex,Race,Rel,Sex_or,Spir,TV,Tvsoap,Tvdrama,Tvsitcom,Cheated,Phys,Emo,IC1,IC2,IC3,IC4,IC5,IC6,IC7,IC8,IC9,IC10,IC11,IC12,IC13,IC14,IC15,IC16,IC17,IC18,IC19,IC20,IT1,IT2,IT3,IT4,IT5,IT6,IT7,IT8,IT9,IT10,IT11,IT12,IT13,IT14,IT15,Inftotr,condo,F1,F2,F3,F4,F5,F6,New,IC,TV_sex1,TV_sex2,TV_sex3,Single,White,Porn3,Cohab,No56
0,Keeping up with the Kardashians,The People V OJ Simpson,Law and Order SVU,Jane the Virgin,Criminal Minds,19,2,3,3,1,91,10,0,2,8,2,,,3,2,2,2,3,3,2,1,3,1,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,5,5,1,1.67,2,45,56,50,60,60,50,3,1.75,1,1,1,0,0,1,0,55
0,On The Wings of Love,The Fosters,Baby Daddy,N/A,N/A,19,2,2,1,1,65,2,0,2,0,2,,,2,2,3,3,3,4,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,3,5,4,2,2,1,1,1,1,4,4,3,2.33,1,60,70,50,65,50,45,2,1.8,1,1,1,1,0,1,0,47.5
1,chinese drama,chinese shows,chinese news,The Walking Dead,The Bachelor,22,2,2,1,1,19,14,14,14,8,1,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,1,1,1,1,1,1,2,2,2,1.6,2,6,8,6,13,10,7,4,4,1,1,1,1,0,1,0,8.5
0,How to Get Away with Murder,Suits,The 100,Vampire Diaries,The Mindy Project,21,2,3,1,1,95,7,0,5,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,3,2,1,1,1,1,1,1,5,5,4,2,2,30,35,45,45,50,50,4,2,1,3,1,1,0,1.67,0,50
0,Avatar Last Airbender,How I Met Your Mother,The Office,Parks and Recreation,Pokemon,22,1,2,3,1,50,5,0,0,0,2,,,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,6,4,1,3,1,6,7,4,2.73,1,20,30,21,37,50,50,4,1.15,6,6,6,0,0,6,0,50
0,House,The Big Bang Theory,One Piece,House of Cards,How I Met Your Mother,21,1,3,1,1,20,0,0,0,0,2,,,1,1,2,3,1,2,1,1,3,1,3,1,1,1,1,1,1,1,1,1,2,3,1,2,4,1,2,3,2,2,3,2,3,3,3,2.4,1,30,50,50,50,50,50,5,1.4,6,6,6,1,0,6,0,50
0,Criminal Minds,Law and Order SVU,kpop star,Pretty Little Liars,produce 101,20,2,2,1,1,1,5,0,3,0,2,,,6,3,7,6,5,5,3,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,1,1,1,1,3,3,5,1.93,2,25,30,10,20,1,1,5,3.4,2,1,1,1,0,1.33,0,1
0,Grey's Anatomy,Scandal,K Michelle: My Life,Love and Hip Hop,Fuller House,19,2,1,1,1,100,2,0,2,0,1,3,4,7,4,4,4,7,4,5,5,4,2,5,2,2,1,1,1,5,4,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,3,1,1.2,2,50,76,40,70,80,72,2,3.45,4,4,4,1,0,4,0,76
0,N/a,N/a,N/a,N/a,N/a,21,2,4,1,1,9,0,0,0,0,2,,,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,3,1,5,5,3,2.07,0,40,60,80,60,30,60,5,1.1,1,2,1,1,0,1.33,0,45
0,El Senor de los Cielos,The Walking Dead,That 70's Show,America's Next Top Model,Wives of Beverly Hills,24,2,3,3,1,100,21,15,5,1,2,,,6,3,4,6,4,4,4,4,4,3,3,1,1,2,1,1,6,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2,2,2,1.4,0,66,76,50,81,75,77,2,3,3,3,1,0,0,2.33,0,76
0,Grey's Anatomy,Parenthood,Modern Family,The Fosters,Chuck,21,2,2,2,1,22,1,0,0,0,1,1,2,4,5,4,4,4,4,4,4,5,4,4,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,2,3,1,1,1,1,2,2,1,1.47,0,45,60,45,59,77,68,3,3.35,1,2,1,0,0,1.33,0,72.5
0,Gotham,Daredevil,The Big Bang Theory,That 70's Show,The Ellen Show,22,2,3,3,1,1,8,0,4,4,2,,,7,3,2,7,6,3,7,7,1,2,7,7,6,1,2,5,5,7,7,2,1,1,1,1,1,1,2,2,1,1,1,1,3,4,3,1.6,0,3,5,1,4,5,2,5,4.7,1,2,1,0,0,1.33,0,3.5
0,How I Met Your Mother,Friends,Scandal,Jane the Virgin,How to Get Away with Murder,22,2,3,2,1,19,6,0,4,3,1,3,1,4,2,4,2,4,4,4,4,4,1,2,3,4,1,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,1.6,2,13,16,24,28,23,19,2,3.35,3,4,2,0,0,3,0,21
